"Continue","Ga verder"
"Connect","Connecteren"
"Disconnect","Disconnect"
"Login","Inloggen"
"Register","Registreer"
"Unable to retrieve access code","Access code kon niet worden opgehaald"
"Required HTTP method is not supported","De vereiste HTTP methode wordt niet ondersteund"
"Unspecified OAuth error occurred","Ongespecifieerde OAuth fout deed zich voor"
"HTTP error %d occurred while issuing request","HTTP fout %d deed zich voor tijdens de request"
"No access token available","Geen access token beschikbaar"
"No refresh token, nothing to revoke","Geen refresh token, niets om in te trekken"
"No refresh token, unable to refresh access token","Geen refresh token, kan access token niet verversen"
"Unable to retrieve request token","Kan request token niet ophalen"
"Unable to retrieve access token","Kan access token niet ophalen"
"Unable to proceed without an access token","Kan niet verder gaan zonder een access token"
"You have successfully disconnected your Facebook account from our store account.","Je hebt met succes je Facebook account ontkoppeld van je shop account."
"Facebook Connect process aborted.","Facebook Connect proces werd afgebroken."
"Sorry, "%s" error occured. Please try again.","Sorry, "%s" fout deed zich voor. Probeer aub opnieuw."
"Your Facebook account is already connected to one of our store accounts.","Je Facebook account is reeds geconnecteerd met één van je shop accounts."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Je Facebook account is nu gekoppeld aan je shop account. Je kan nu inloggen met onze Facebook Connect knop of door gebruik te maken van de gegevens die we je via mail toestuurden."
"You have successfully logged in using your Facebook account.","Je werd succesvol ingelogd via je Facebook account."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","We merkten dat je reeds een account hebt op onze shop. Je Facebook account werd met deze account gekoppeld."
"Sorry, could not retrieve your Facebook first name. Please try again.","Sorry, we konden je voornaam niet ophalen via Facebook. Probeer aub opnieuw."
"Sorry, could not retrieve your Facebook last name. Please try again.","Sorry, we konden je naam niet ophalen via Facebook. Probeer aub opnieuw."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Je Facebook account is nu gekoppeld aan je nieuwe shop account.  Je kan nu inloggen met onze Facebook Connect knop of door gebruik te maken van de gegevens die we je via mail toestuurden."
"You have successfully disconnected your Twitter account from our store account.","Je hebt met succes je Twitter account ontkoppeld van je shop account."
"Twitter Connect process aborted.","Twitter Connect proces werd afgebroken."
"Your Twitter account is already connected to one of our store accounts.","Je Facebook account is reeds geconnecteerd met één van je shop accounts."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Je Facebook account is nu gekoppeld aan je shop account. Je kan nu inloggen met onze Twitter Connect knop of door gebruik te maken van de gegevens die we je via mail toestuurden."
"You have successfully logged in using your Twitter account.","Je werd succesvol ingelogd via je Twitter account."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","We merkten dat je reeds een account hebt op onze shop. Je Twitter account werd met deze account gekoppeld."
"Sorry, could not retrieve your Twitter last name. Please try again.","Sorry, we konden je naam niet ophalen via Twitter. Probeer aub opnieuw."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Je Twitter account is nu gekoppeld aan je nieuwe shop account.  Je kan nu inloggen met onze Twitter Connect knop of door gebruik te maken van de gegevens die we je via mail toestuurden."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Aangezien Twitter niet toestaat dat we je email adres opvragen, kunnen we je geen login gegevens sturen. Indien je toch via email adres en wachtwoord wilt kunnen inloggen dien je die zelf in te geven op de <a href="%s">Account Informatie Bewerken</a> pagina."
"Facebook Connect","Facebook Connect"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Customer My Account Google Connect"
"Customer My Account Facebook Connect","Customer My Account Facebook Connect"
"Customer My Account Twitter Connect","Customer My Account Twitter Connect"
"Connected as %s","Verbonden als %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Geslacht: %s"
"Birthday: %s","Verjaardag: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Je kan je webshop account verbinden met je FaceBook account zodat je in de toekomst makkelijker kunt inloggen."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Je kan je webshop account verbinden met je Twitter account zodat je in de toekomst makkelijker kunt inloggen"
"You can continue with checkout using your <strong>Facebook</strong> account.","Je kan verder gaan met afrekenen door gebruik te maken van je <strong>Facebook</strong> account."
"You can continue with checkout using your <strong>Twitter</strong> account.","Je kan verder gaan met afrekenen door gebruik te maken van je <strong>Twitter</strong> account."
"You can login using your Facebook account.","Je kan inloggen met je Facebook account."
"You can login using your Twitter account.","Je kan inloggen met je Twitter account."
"You can register using your Facebook account.","Je kan registreren met je Facebook account."
"You can register using your Twitter account.","Je kan registreren met je Twitter account."